amod(accounts-2, descriptive-1)
nsubj(suggest-13, accounts-2)
cc(accounts-2, and-3)
amod(investigations-5, empirical-4)
conj(accounts-2, investigations-5)
prep(accounts-2, of-6)
nn(CITATION-9, negotiation-7)
nn(CITATION-9, behavior-8)
pobj(of-6, CITATION-9)
punct(suggest-13, ,-10)
advmod(suggest-13, however-11)
punct(suggest-13, ,-12)
root(ROOT-0, suggest-13)
mark(likely-24, that-14)
det(number-16, a-15)
nsubj(likely-24, number-16)
prep(number-16, of-17)
amod(barriers-19, psychological-18)
pobj(of-17, barriers-19)
aux(conflict-21, to-20)
infmod(barriers-19, conflict-21)
dobj(conflict-21, resolution-22)
cop(likely-24, are-23)
ccomp(suggest-13, likely-24)
aux(make-26, to-25)
xcomp(likely-24, make-26)
amod(deal-28, efficient-27)
nsubj(making-29, deal-28)
xcomp(make-26, making-29)
amod(CITATION-31, difficult-30)
dobj(making-29, CITATION-31)

det(belief-2, this-1)
nsubj(bias-6, belief-2)
cop(bias-6, is-3)
det(bias-6, a-4)
punct(bias-6, ``-5)
root(ROOT-0, bias-6)
punct(bias-6, ''-7)
advmod(persists-10, when-8)
nsubj(persists-10, it-9)
advcl(bias-6, persists-10)
advmod(in-12, even-11)
prep(persists-10, in-12)
pobj(in-12, contexts-13)
advmod(is-16, where-14)
expl(is-16, there-15)
rcmod(contexts-13, is-16)
det(possibility-18, a-17)
nsubj(is-16, possibility-18)
prep(possibility-18, of-19)
amod(interests-21, compatible-20)
pobj(of-19, interests-21)
cc(interests-21, or-22)
amod(benefit-24, mutual-23)
conj(interests-21, benefit-24)

num(weakness-2, One-1)
nsubj(been-7, weakness-2)
prep(weakness-2, of-3)
amod(studies-5, existing-4)
pobj(of-3, studies-5)
aux(been-7, has-6)
root(ROOT-0, been-7)
mark(consisted-11, that-8)
nn(therapy-10, induction-9)
nsubj(consisted-11, therapy-10)
ccomp(been-7, consisted-11)
prep(consisted-11, of-12)
amod(regimens-17, standard-13)
amod(regimens-17, three-drug-14)
amod(regimens-17, antiretroviral-15)
nn(regimens-17, therapy-16)
pobj(of-12, regimens-17)
prep(regimens-17, in-18)
amod(use-21, common-19)
amod(use-21, clinical-20)
pobj(in-18, use-21)
prep(consisted-11, at-22)
det(time-24, the-23)
pobj(at-22, time-24)
prep(time-24, of-25)
det(study-27, the-26)
pobj(of-25, study-27)
punct(consisted-11, ,-28)
prep(consisted-11, under-29)
pobj(under-29, conditions-30)
advmod(recognized-32, now-31)
partmod(conditions-30, recognized-32)
aux(permit-34, to-33)
xcomp(recognized-32, permit-34)
nn(CITATION-38, subclinical-35)
nn(CITATION-38, viral-36)
nn(CITATION-38, replication-37)
dobj(permit-34, CITATION-38)
punct(CITATION-38, ,-39)
appos(CITATION-38, CITATION-40)
punct(been-7, .-41)

advmod(lasted-12, Moreover-1)
punct(lasted-12, ,-2)
prep(lasted-12, in-3)
det(studies-6, these-4)
amod(studies-6, early-5)
pobj(in-3, studies-6)
punct(lasted-12, ,-7)
det(phase-10, the-8)
nn(phase-10, induction-9)
nsubj(lasted-12, phase-10)
advmod(lasted-12, only-11)
root(ROOT-0, lasted-12)
prep(lasted-12, between-13)
number(6-16, 3-14)
dep(6-16, to-15)
num(mo-17, 6-16)
pobj(between-13, mo-17)
punct(mo-17, ,-18)
nsubj(insufficient-22, which-19)
aux(insufficient-22, may-20)
cop(insufficient-22, be-21)
rcmod(mo-17, insufficient-22)
punct(lasted-12, .-23)

advmod(generalization-2, most-1)
amod(bounds-3, generalization-2)
nsubjpass(based-8, bounds-3)
prep(bounds-3, in-4)
nn(theory-6, learning-5)
pobj(in-4, theory-6)
auxpass(based-8, are-7)
root(ROOT-0, based-8)
prep(based-8, on-9)
det(measure-11, some-10)
pobj(on-9, measure-11)
prep(measure-11, of-12)
det(complexity-14, the-13)
pobj(of-12, complexity-14)
prep(complexity-14, of-15)
det(class-18, the-16)
nn(class-18, hypothesis-17)
pobj(of-15, class-18)
partmod(class-18, used-19)
dep(used-19, independently-20)
prep(independently-20, of-21)
det(algorithm-23, any-22)
pobj(of-21, algorithm-23)

prep(used-10, in-1)
pobj(in-1, contrast-2)
det(notion-4, the-3)
nsubjpass(used-10, notion-4)
prep(notion-4, of-5)
amod(stability-7, algorithmic-6)
pobj(of-5, stability-7)
aux(used-10, can-8)
auxpass(used-10, be-9)
root(ROOT-0, used-10)
aux(derive-12, to-11)
xcomp(used-10, derive-12)
amod(bounds-15, tight-13)
nn(bounds-15, generalization-14)
dobj(derive-12, bounds-15)
nsubjpass(tailored-18, that-16)
auxpass(tailored-18, are-17)
rcmod(bounds-15, tailored-18)
prep(tailored-18, to-19)
pobj(to-19, specific-20)
dep(specific-20, learning-21)
dobj(learning-21, algorithms-22)
prep(learning-21, by-23)
pcomp(by-23, exploiting-24)
poss(properties-27, their-25)
amod(properties-27, particular-26)
dobj(exploiting-24, properties-27)

root(ROOT-0, however-1)
prep(however-1, as-2)
pcomp(as-2, in-3)
pobj(in-3, much-4)
prep(much-4, of-5)
pcomp(of-5, learning-6)
dobj(learning-6, theory-7)
amod(analyses-10, existing-8)
nn(analyses-10, stability-9)
nsubj(apply-13, analyses-10)
cc(analyses-10, and-11)
conj(analyses-10, bounds-12)
rcmod(theory-7, apply-13)
advmod(in-15, only-14)
prep(apply-13, in-15)
det(scenario-17, the-16)
pobj(in-15, scenario-17)
advmod(independently-22, where-18)
det(samples-20, the-19)
nsubj(independently-22, samples-20)
cop(independently-22, are-21)
rcmod(scenario-17, independently-22)
cc(independently-22, and-23)
advmod(distributed-25, identically-24)
conj(independently-22, distributed-25)

prep(learning-4, in-1)
amod(machine-3, many-2)
pobj(in-1, machine-3)
root(ROOT-0, learning-4)
dobj(learning-4, applications-5)
advmod(learning-4, however-6)
det(assumption-8, this-7)
nsubj(hold-11, assumption-8)
aux(hold-11, does-9)
neg(hold-11, not-10)
dep(learning-4, hold-11)

det(observations-2, the-1)
nsubj(have-9, observations-2)
partmod(observations-2, received-3)
prep(received-3, by-4)
det(algorithm-7, the-5)
nn(algorithm-7, learning-6)
pobj(by-4, algorithm-7)
advmod(have-9, often-8)
root(ROOT-0, have-9)
det(dependence-13, some-10)
amod(dependence-13, inherent-11)
amod(dependence-13, temporal-12)
dobj(have-9, dependence-13)

advmod(generalization-2, most-1)
amod(bounds-3, generalization-2)
nsubjpass(based-8, bounds-3)
prep(bounds-3, in-4)
nn(theory-6, learning-5)
pobj(in-4, theory-6)
auxpass(based-8, are-7)
root(ROOT-0, based-8)
mark(used-19, on-9)
det(measure-11, some-10)
nsubj(used-19, measure-11)
prep(measure-11, of-12)
det(complexity-14, the-13)
pobj(of-12, complexity-14)
prep(complexity-14, of-15)
det(class-18, the-16)
nn(class-18, hypothesis-17)
pobj(of-15, class-18)
advcl(based-8, used-19)
mwe(as-21, such-20)
prep(used-19, as-21)
det(dimension-24, the-22)
nn(dimension-24, vc-23)
nsubj(covering-25, dimension-24)
pcomp(as-21, covering-25)
dobj(covering-25, numbers-26)
cc(numbers-26, or-27)
conj(numbers-26, rademacher-28)
dobj(used-19, complexity-29)

det(measures-2, these-1)
nsubj(characterize-3, measures-2)
root(ROOT-0, characterize-3)
det(class-5, a-4)
dobj(characterize-3, class-5)
prep(class-5, of-6)
pobj(of-6, hypotheses-7)
advmod(class-5, independently-8)
prep(independently-8, of-9)
